Notation 1	Name
<http://uricorn.fly/tib_lok_sys#jur-240.1>	Polizeirecht / Ordnungsrecht - Grundfragen
<http://uricorn.fly/tib_lok_sys#jur-004-007>	Rechtsphilosophie
<http://uricorn.fly/tib_lok_sys#jur-120.3>	Europarecht. Wertpapierrecht
<http://uricorn.fly/tib_lok_sys#jur-477>	Justizverwaltung / Justizorganisation
<http://uricorn.fly/tib_lok_sys#jur-392.4>	Wirtschaftsstrafrecht. Schwarzhandel
<http://uricorn.fly/tib_lok_sys#jur-3>	Rechtswissenschaftler
<http://uricorn.fly/tib_lok_sys#jur-388.5>	Wasserrecht. Gemeingebrauch / Wasserrecht. Sondernutzung
<http://uricorn.fly/tib_lok_sys#jur-060-bn>	Völkerrechtliche Verträge
<http://uricorn.fly/tib_lok_sys#jur-7.8>	Rechtsphilosophie - Einzelfragen
<http://uricorn.fly/tib_lok_sys#jur-552.4>	Verfahren in weiteren Angelegenheiten der freiwilligen Gerichtsbarkeit
<http://uricorn.fly/tib_lok_sys#jur-505.4>	Zivilprozessrecht. Urteil
<http://uricorn.fly/tib_lok_sys#jur-893>	Straftaten im Amt
<http://uricorn.fly/tib_lok_sys#jur-937.4>	Beleidigung
<http://uricorn.fly/tib_lok_sys#jur-933.5>	Abtreibung
<http://uricorn.fly/tib_lok_sys#jur-400.1>	Verkehrsverfassung / Verkehrsverwaltung
<http://uricorn.fly/tib_lok_sys#jur-708.5>	Scheidung der Ehe. Verhältnis zu den Kindern
<http://uricorn.fly/tib_lok_sys#jur-996.2>	Syrien
<http://uricorn.fly/tib_lok_sys#jur-875.6>	Tierquälerei / Tierschutz
<http://uricorn.fly/tib_lok_sys#jur-416.7>	Schiffsgläubigerrecht / Ladungsgläubigerrecht
<http://uricorn.fly/tib_lok_sys#jur-162>	Staatsangehörigkeit
<http://uricorn.fly/tib_lok_sys#jur-110.2>	Europarecht. Wirtschaftslenkung / Europarecht. Investitionen
<http://uricorn.fly/tib_lok_sys#jur-68>	Menschenrechte / Völkerrechtliches Individualrecht
<http://uricorn.fly/tib_lok_sys#jur-671.3>	Ungerechtfertigte Bereicherung. Nichteintritt / des bezweckten Erfolges / Ungerechtfertigte Bereicherung. Wegfall des rechtlichen Grundes / Ungerechtfertigte Bereicherung. Erfüllung trotz Einrede / Ungerechtfertigte Bereicherung. Kenntnis des Nichtbestehens der Schuld / Ungerechtfertigte Bereicherung. Kenntnis des Nichteintritts des Erfolges
<http://uricorn.fly/tib_lok_sys#jur-290>	Presserecht
<http://uricorn.fly/tib_lok_sys#jur-674.5>	Aufsichtspflichtverletzung / Aufopferungsanspruch
<http://uricorn.fly/tib_lok_sys#jur-289.8>	Kommunikationsmittel / Medien / Massenmedien
<http://uricorn.fly/tib_lok_sys#jur-025-027>	Rechtsvergleichung / Rechtsangleichung
<http://uricorn.fly/tib_lok_sys#jur-450>	Sozialrecht
<http://uricorn.fly/tib_lok_sys#jur-84>	See-, Land- und Luftkrieg
<http://uricorn.fly/tib_lok_sys#jur-066-deut>	Völkerrechtliche Stellung. Deutschland
<http://uricorn.fly/tib_lok_sys#jur-115.4>	Europarecht. Verkehrsrecht / Europarecht. Transportrecht
<http://uricorn.fly/tib_lok_sys#jur-915>	Strafvollstreckung
<http://uricorn.fly/tib_lok_sys#jur-818.5>	KFZ-Versicherung / Allgemeine Bedingungen für die Kraftfahrtversicherung
<http://uricorn.fly/tib_lok_sys#jur-154.5>	Volksentscheid
<http://uricorn.fly/tib_lok_sys#jur-076-jl>	Internationales Kernenergierecht
<http://uricorn.fly/tib_lok_sys#jur-815>	Versicherungsvertragsrecht
<http://uricorn.fly/tib_lok_sys#jur-706.3>	Wirkung der Ehe. Schlüsselgewalt / Wirkung der Ehe. Mitarbeit / Wirkung der Ehe. Haushaltsführung / Wirkung der Ehe. Beruf / Wirkung der Ehe. Rechte der Ehegatten gegen Dritte /  Wirkung der Ehe. Eigentumsvermutung
<http://uricorn.fly/tib_lok_sys#jur-683>	Grundstücke
<http://uricorn.fly/tib_lok_sys#jur-908.5>	Strafverfahren. Einstellung / Strafverfahren. Absehen von Strafe
<http://uricorn.fly/tib_lok_sys#jur-909>	Strafverfahren. Hauptverfahren
<http://uricorn.fly/tib_lok_sys#jur-635.8>	Leistungsstörungen - Einzelfragen
<http://uricorn.fly/tib_lok_sys#jur-940.8>	Kriminalgeographie
<http://uricorn.fly/tib_lok_sys#jur-420.7>	Zeitcharter / Charter parties / Raumcharter / Liegezeit / Ladezeit / Liegegelds
<http://uricorn.fly/tib_lok_sys#jur-217.5>	Kommunale Neugliederung / Gebietsreform
